
# Surface 0 of 1 surfaces

# Curve title: "file u (getx($1)):(gety($2)):(sqrt(column(c)))"

# Contour 0, label:        3
 0.54511 -1.98967  3 
 0.545 -1.99741  3 
 0.542852 -2.09439  3 
 0.539268 -2.19911  3 
 0.5365 -2.25108  3 
 0.528 -2.2761  3 
 0.5195 -2.27631  3 
 0.511 -2.25455  3 
 0.5025 -2.26846  3 
 0.494 -2.25723  3 
 0.4855 -2.2069  3 
 0.485145 -2.19911  3 
 0.481794 -2.09439  3 
 0.479796 -1.98967  3 
 0.478717 -1.88495  3 
 0.47823 -1.78023  3 
 0.478051 -1.67551  3 
 0.478075 -1.5708  3 
 0.477961 -1.46608  3 
 0.478044 -1.36136  3 
 0.478583 -1.25664  3 
 0.479926 -1.15192  3 
 0.482516 -1.0472  3 
 0.4855 -0.965893  3 
 0.48813 -0.942477  3 
 0.494 -0.909443  3 
 0.5025 -0.901369  3 
 0.511 -0.912911  3 
 0.5195 -0.899654  3 
 0.528 -0.903046  3 
 0.5365 -0.933431  3 
 0.537013 -0.942477  3 
 0.541352 -1.0472  3 
 0.544316 -1.15192  3 
 0.545 -1.19089  3 
 0.545705 -1.25664  3 
 0.546293 -1.36136  3 
 0.546544 -1.46608  3 
 0.546535 -1.5708  3 
 0.546616 -1.67551  3 
 0.546483 -1.78023  3 
 0.546027 -1.88495  3 
 0.54511 -1.98967  3 


# Contour 1, label:        2
 0.537937 -1.98967  2 
 0.5365 -2.04484  2 
 0.530265 -2.09439  2 
 0.528 -2.10596  2 
 0.52251 -2.09439  2 
 0.5195 -2.0837  2 
 0.511 -2.05427  2 
 0.5025 -2.05784  2 
 0.494 -2.06174  2 
 0.489442 -1.98967  2 
 0.486605 -1.88495  2 
 0.48575 -1.78023  2 
 0.4855 -1.73936  2 
 0.485244 -1.67551  2 
 0.484775 -1.5708  2 
 0.48469 -1.46608  2 
 0.484998 -1.36136  2 
 0.4855 -1.29811  2 
 0.486165 -1.25664  2 
 0.490023 -1.15192  2 
 0.494 -1.09175  2 
 0.5025 -1.08916  2 
 0.511 -1.08777  2 
 0.5195 -1.07756  2 
 0.528 -1.06478  2 
 0.536381 -1.15192  2 
 0.5365 -1.15372  2 
 0.538962 -1.25664  2 
 0.540293 -1.36136  2 
 0.540843 -1.46608  2 
 0.540862 -1.5708  2 
 0.540712 -1.67551  2 
 0.540187 -1.78023  2 
 0.539516 -1.88495  2 
 0.537937 -1.98967  2 


# Contour 2, label:     1.96
 0.537649 -1.98967  1.96 
 0.5365 -2.03375  1.96 
 0.52887 -2.09439  1.96 
 0.528 -2.09884  1.96 
 0.525891 -2.09439  1.96 
 0.5195 -2.07169  1.96 
 0.511 -2.04374  1.96 
 0.5025 -2.04486  1.96 
 0.494 -2.05097  1.96 
 0.490123 -1.98967  1.96 
 0.487198 -1.88495  1.96 
 0.486188 -1.78023  1.96 
 0.485543 -1.67551  1.96 
 0.4855 -1.66915  1.96 
 0.485043 -1.5708  1.96 
 0.484959 -1.46608  1.96 
 0.485276 -1.36136  1.96 
 0.4855 -1.33313  1.96 
 0.486726 -1.25664  1.96 
 0.490658 -1.15192  1.96 
 0.494 -1.10135  1.96 
 0.5025 -1.09933  1.96 
 0.511 -1.09654  1.96 
 0.5195 -1.08696  1.96 
 0.528 -1.07288  1.96 
 0.535602 -1.15192  1.96 
 0.5365 -1.16556  1.96 
 0.538679 -1.25664  1.96 
 0.540032 -1.36136  1.96 
 0.540594 -1.46608  1.96 
 0.540617 -1.5708  1.96 
 0.540451 -1.67551  1.96 
 0.539906 -1.78023  1.96 
 0.539236 -1.88495  1.96 
 0.537649 -1.98967  1.96 


# Contour 3, label:     1.65
 0.537037 -1.88495  1.645 
 0.5365 -1.91953  1.645 
 0.532521 -1.98967  1.645 
 0.528 -2.02939  1.645 
 0.521123 -1.98967  1.645 
 0.5195 -1.97661  1.645 
 0.511 -1.95855  1.645 
 0.5025 -1.93702  1.645 
 0.494 -1.95014  1.645 
 0.491866 -1.88495  1.645 
 0.489639 -1.78023  1.645 
 0.488592 -1.67551  1.645 
 0.487891 -1.5708  1.645 
 0.48787 -1.46608  1.645 
 0.488697 -1.36136  1.645 
 0.491146 -1.25664  1.645 
 0.494 -1.18741  1.645 
 0.5025 -1.19939  1.645 
 0.511 -1.17252  1.645 
 0.5195 -1.16641  1.645 
 0.522394 -1.15192  1.645 
 0.528 -1.13667  1.645 
 0.529467 -1.15192  1.645 
 0.536368 -1.25664  1.645 
 0.5365 -1.25986  1.645 
 0.537971 -1.36136  1.645 
 0.538629 -1.46608  1.645 
 0.538689 -1.5708  1.645 
 0.538392 -1.67551  1.645 
 0.537691 -1.78023  1.645 
 0.537037 -1.88495  1.645 


# Contour 4, label:        1
 0.531148 -1.78023  1 
 0.528 -1.85147  1 
 0.522113 -1.78023  1 
 0.51957 -1.67551  1 
 0.5195 -1.65575  1 
 0.517243 -1.67551  1 
 0.511 -1.6864  1 
 0.510445 -1.67551  1 
 0.509184 -1.5708  1 
 0.511 -1.51387  1 
 0.5195 -1.54191  1 
 0.520237 -1.46608  1 
 0.523595 -1.36136  1 
 0.528 -1.30183  1 
 0.531185 -1.36136  1 
 0.533769 -1.46608  1 
 0.534602 -1.5708  1 
 0.533492 -1.67551  1 
 0.531148 -1.78023  1 

